,0
2200,29130
2201,31693
2202,31449
2203,26083
2204,31442
2205,28020
2206,31584
2207,31388
2208,27928
2209,32002
2210,26276
2211,28173
2212,28090
2213,27925
2214,27923
2215,32143
2216,28007
2217,27883
2218,27877
2219,27880
2220,32165
2221,26585
2222,27907
2223,28169
2224,28188
2225,32300
2226,28132
2227,32055
2228,31793
2229,31821
2230,28004
2231,28283
2232,27999
2233,28192
2234,28265
2235,31559
2236,32120
2237,32121
2238,31914
2239,26681
2240,31795
2241,32211
2242,32536
2243,32554
2244,32319
2245,28117
2246,28112
2247,28108
2248,28123
2249,32357
2250,32360
2251,32362
2252,32653
2253,32569
2254,28288
2255,28530
2256,28323
2257,28704
2258,32498
2259,28522
2260,28642
2261,28602
2262,32570
2263,27147
2264,32600
2265,32663
2266,32460
2267,32812
2268,32997
2269,32864
2270,33087
2271,32579
2272,33132
2273,33134
2274,28798
2275,32983
2276,32790
2277,28806
2278,28861
2279,32232
2280,33241
2281,33665
2282,33479
2283,28474
2284,33639
2285,29883
2286,30492
2287,33976
2288,34174
2289,34240
2290,28400
2291,34262
2292,34106
2293,34229
2294,34363
2295,26861
2296,33064
2297,26583
2298,28293
2299,27352
2300,34453
2301,34552
2302,34554
2303,33842
2304,34021
2305,28291
2306,31602
2307,33961
2308,28487
2309,28121
2310,34666
2311,30625
2312,28512
2313,27827
2314,28068
2315,28071
2316,28067
2317,28069
2318,34866
2319,27613
2320,27615
2321,27620
2322,27627
2323,27781
2324,27608
2325,32378
2326,34970
2327,31724
2328,32142
2329,32219
2330,34914
2331,31973
2332,31719
2333,32303
2334,35255
2335,34663
2336,34362
2337,34917
2338,35386
2339,35389
2340,27691
2341,35165
2342,35214
2343,34850
2344,35514
2345,34780
2346,33067
2347,35647
2348,35675
2349,28080
2350,28122
2351,27503
2352,28409
2353,35001
2354,35853
2355,27628
2356,27634
2357,35299
2358,35902
2359,36180
2360,36216
2361,36311
2362,35867
2363,36310
2364,36519
2365,36432
2366,36663
2367,36798
2368,28445
2369,33598
2370,28285
2371,36545
2372,36569
2373,33198
2374,36981
2375,36653
2376,30056
2377,36735
2378,37359
2379,37485
2380,36227
2381,37611
2382,34238
2383,37407
2384,37795
2385,37259
2386,37852
2387,38002
2388,38062
2389,35884
2390,38163
2391,37861
2392,34652
2393,34551
2394,34714
2395,37793
2396,38003
2397,35623
2398,37351
2399,35585
2400,38031
2401,36019
2402,38114
2403,38000
2404,38020
2405,38969
2406,38765
2407,38616
2408,39387
2409,39584
2410,38584
2411,39921
2412,40627
2413,40082
2414,40865
2415,40123
2416,42081
2417,42082
2418,42409
2419,38130
2420,43194
2421,44689
2422,45203
2423,44915
2424,44998
2425,44771
2426,44913
2427,44313
2428,44869
2429,44806
2430,44805
2431,45058
2432,45471
2433,44824
2434,45963
2435,49351
2436,54206
2437,59897
2438,27292
2439,27373
2440,27386
2441,28760
2442,28766
2443,29173
2444,29355
2445,28836
2446,29691
2447,29701
2448,29982
2449,30022
2450,30241
2451,30564
2452,30897
2453,30990
2454,31176
2455,30157
2456,31503
2457,31256
2458,29843
2459,31175
2460,31181
2461,31383
2462,32085
2463,32144
2464,32231
2465,32235
2466,32184
2467,32527
2468,32671
2469,32684
2470,32740
2471,32772
2472,32656
2473,32417
2474,31527
2475,29128
2476,33375
2477,33488
2478,33674
2479,33675
2480,33657
2481,32379
2482,33890
2483,32848
2484,34066
2485,34093
2486,34354
2487,33870
2488,34302
2489,31266
2490,32136
2491,31083
2492,34662
2493,31905
2494,34752
2495,30882
